model,uncertainty_type,dataset,unlabeled_size,auroc
qwen,sar,trivia_qa,100,
qwen,sar,trivia_qa,200,
qwen,sar,trivia_qa,300,
qwen,sar,trivia_qa,400,
qwen,sar,trivia_qa,500,
qwen,sar,trivia_qa,600,
qwen,sar,trivia_qa,700,
qwen,sar,trivia_qa,800,
qwen,sar,trivia_qa,900,
qwen,sar,trivia_qa,1000,
qwen,sar,trivia_qa,1100,
qwen,sar,trivia_qa,1200,
qwen,sar,trivia_qa,1300,
qwen,sar,trivia_qa,1400,
qwen,sar,trivia_qa,1500,
qwen,sar,trivia_qa,1600,
qwen,sar,trivia_qa,1700,
qwen,sar,trivia_qa,1800,
qwen,sar,trivia_qa,1900,
qwen,sar,trivia_qa,2000,
qwen,sar,trivia_qa,2100,
qwen,sar,trivia_qa,2200,
qwen,sar,trivia_qa,2300,
qwen,sar,trivia_qa,2400,
qwen,sar,trivia_qa,2500,
qwen,sar,trivia_qa,2600,
qwen,sar,trivia_qa,2700,
qwen,sar,trivia_qa,2800,
qwen,sar,trivia_qa,2900,
qwen,sar,trivia_qa,3000,
qwen,sar,trivia_qa,3100,
qwen,semanticentropy,trivia_qa,100,
qwen,semanticentropy,trivia_qa,200,
qwen,semanticentropy,trivia_qa,300,
qwen,semanticentropy,trivia_qa,400,
qwen,semanticentropy,trivia_qa,500,
qwen,semanticentropy,trivia_qa,600,
qwen,semanticentropy,trivia_qa,700,
qwen,semanticentropy,trivia_qa,800,
qwen,semanticentropy,trivia_qa,900,
qwen,semanticentropy,trivia_qa,1000,
qwen,semanticentropy,trivia_qa,1100,
qwen,semanticentropy,trivia_qa,1200,
qwen,semanticentropy,trivia_qa,1300,
qwen,semanticentropy,trivia_qa,1400,
qwen,semanticentropy,trivia_qa,1500,
qwen,semanticentropy,trivia_qa,1600,
qwen,semanticentropy,trivia_qa,1700,
qwen,semanticentropy,trivia_qa,1800,
qwen,semanticentropy,trivia_qa,1900,
qwen,semanticentropy,trivia_qa,2000,
qwen,semanticentropy,trivia_qa,2100,
qwen,semanticentropy,trivia_qa,2200,
qwen,semanticentropy,trivia_qa,2300,
qwen,semanticentropy,trivia_qa,2400,
qwen,semanticentropy,trivia_qa,2500,
qwen,semanticentropy,trivia_qa,2600,
qwen,semanticentropy,trivia_qa,2700,
qwen,semanticentropy,trivia_qa,2800,
qwen,semanticentropy,trivia_qa,2900,
qwen,semanticentropy,trivia_qa,3000,
qwen,semanticentropy,trivia_qa,3100,
qwen,maximumsequenceprobability,trivia_qa,100,
qwen,maximumsequenceprobability,trivia_qa,200,
qwen,maximumsequenceprobability,trivia_qa,300,
qwen,maximumsequenceprobability,trivia_qa,400,
qwen,maximumsequenceprobability,trivia_qa,500,
qwen,maximumsequenceprobability,trivia_qa,600,
qwen,maximumsequenceprobability,trivia_qa,700,
qwen,maximumsequenceprobability,trivia_qa,800,
qwen,maximumsequenceprobability,trivia_qa,900,
qwen,maximumsequenceprobability,trivia_qa,1000,
qwen,maximumsequenceprobability,trivia_qa,1100,
qwen,maximumsequenceprobability,trivia_qa,1200,
qwen,maximumsequenceprobability,trivia_qa,1300,
qwen,maximumsequenceprobability,trivia_qa,1400,
qwen,maximumsequenceprobability,trivia_qa,1500,
qwen,maximumsequenceprobability,trivia_qa,1600,
qwen,maximumsequenceprobability,trivia_qa,1700,
qwen,maximumsequenceprobability,trivia_qa,1800,
qwen,maximumsequenceprobability,trivia_qa,1900,
qwen,maximumsequenceprobability,trivia_qa,2000,
qwen,maximumsequenceprobability,trivia_qa,2100,
qwen,maximumsequenceprobability,trivia_qa,2200,
qwen,maximumsequenceprobability,trivia_qa,2300,
